"Year","DOY","Plot","Treat","Snow","SnowSD","Ice","IceSD","Note"
2017,109,20,2.25,0,0,1.9,3.8,"N/A"
2017,109,21,-2,0,0,14.3,16.5,"N/A"
2018,109,4,4.5,17.7,15.7,22.6,3.5,"N/A"
2018,109,6,0,0,0,41.3,0.3,"N/A"
2018,109,7,-2,0,0,29.2,20.9,"N/A"
2018,109,8,6.75,0,0,21,2.9,"N/A"
2018,109,10,9,0,0,7.1,6.5,"N/A"
2018,109,11,2.25,0,0,30.3,5.2,"N/A"
2018,109,13,4.5,0,0,25.8,3.5,"N/A"
2018,109,14,-2,-9999,-9999,-9999,-9999,"N/A"
2018,109,16,6.75,0,0,21,5,"N/A"
2018,109,17,9,0,0,13.8,10.9,"N/A"
2018,109,19,0,0,0,40.8,2.5,"N/A"
2018,109,20,2.25,0,0,31.3,0.6,"N/A"
2018,109,21,-2,14.7,14.5,33.5,7.4,"N/A"
2018,130,4,4.5,0,0,3.3,3.6,"N/A"
2018,130,6,0,0,0,32.1,13.4,"N/A"
2018,130,7,-2,0,0,24,13.9,"N/A"
2018,130,8,6.75,0,0,0.8,1,"N/A"
2018,130,9,-2,0,0,0,0,"N/A"
2018,130,11,2.25,0,0,17.9,5.6,"N/A"
2018,130,13,4.5,0,0,8.4,6.1,"N/A"
2018,130,14,-2,0,0,-9999,-9999,"N/A"
2018,130,16,6.75,0,0,0,0,"N/A"
2018,130,17,9,0,0,0,0,"N/A"
2018,130,19,0,0,0,36.4,0.9,"N/A"
2018,130,20,2.25,0,0,22.1,4.4,"N/A"
2018,130,21,-2,0,0,25,11.2,"N/A"
2019,58,4,4.5,27.3,15.5,-9999,-9999,"N/A"
2019,58,6,0,57,5.2,-9999,-9999,"N/A"
2019,58,7,-2,76,11.5,-9999,-9999,"N/A"
2019,58,8,6.75,26.3,12,-9999,-9999,"N/A"
2019,58,10,9,12.5,3.4,-9999,-9999,"N/A"
2019,58,11,2.25,31,14.7,-9999,-9999,"N/A"
2019,58,13,4.5,23,12.2,-9999,-9999,"N/A"
2019,58,16,6.75,15.8,6.2,-9999,-9999,"N/A"
2019,58,17,9,14.3,3.3,-9999,-9999,"N/A"
2019,58,19,0,42.5,13.2,-9999,-9999,"N/A"
2019,58,20,2.25,34.3,10.4,-9999,-9999,"N/A"
2019,58,21,-2,78.5,2.1,-9999,-9999,"N/A"
2019,114,4,4.5,0,0,9.5,7.1,"N/A"
2019,114,6,0,0,0,16.8,11.5,"N/A"
2019,114,7,-2,0,0,12.5,5.7,"N/A"
2019,114,8,6.75,0,0,1.8,3.5,"N/A"
2019,114,10,9,0,0,0,0,"N/A"
2019,114,11,2.25,0,0,24.5,6.4,"N/A"
2019,114,13,4.5,0,0,12,8.3,"N/A"
2019,114,16,6.75,0,0,6,4.7,"N/A"
2019,114,17,9,0,0,0,0,"N/A"
2019,114,19,0,0,0,31.3,6.8,"N/A"
2019,114,20,2.25,0,0,23.5,9.6,"N/A"
2019,114,21,-2,0,0,16.3,14.1,"N/A"
2019,154,4,4.5,0,0,0,0,"N/A"
2019,154,6,0,0,0,26.5,3.3,"N/A"
2019,154,7,-2,0,0,0,0,"N/A"
2019,154,8,6.75,0,0,0,0,"N/A"
2019,154,10,9,0,0,0,0,"N/A"
2019,154,11,2.25,0,0,5.3,6.7,"N/A"
2019,154,13,4.5,0,0,0,0,"N/A"
2019,154,16,6.75,0,0,0,0,"N/A"
2019,154,17,9,0,0,0,0,"N/A"
2019,154,19,0,0,0,24.5,5.9,"N/A"
2019,154,20,2.25,0,0,2.8,5.5,"N/A"
2019,154,21,-2,0,0,0,0,"N/A"
2021,110,4,4.5,0,0,3.9,4.6,"N/A"
2021,110,6,0,0,0,27.5,12.3,"N/A"
2021,110,7,-2,0,0,26.8,6.1,"N/A"
2021,110,8,6.75,0,0,3.4,3.9,"N/A"
2021,110,10,9,0,0,0,0,"N/A"
2021,110,11,2.25,0,0,19.1,4,"N/A"
2021,110,13,4.5,0,0,13.6,3.1,"N/A"
2021,110,16,6.75,0,0,0,0,"N/A"
2021,110,17,9,0,0,0,0,"N/A"
2021,110,19,0,0,0,37,9.8,"N/A"
2021,110,20,2.25,0,0,19.1,0.8,"N/A"
2021,110,21,-2,0,0,30.4,2.9,"N/A"
2021,139,4,4.5,0,0,0,0,"N/A"
2021,139,6,0,0,0,21.3,9.4,"N/A"
2021,139,7,-2,0,0,5.5,11,"N/A"
2021,139,8,6.75,0,0,0,0,"N/A"
2021,139,10,9,0,0,0,0,"N/A"
2021,139,11,2.25,0,0,0,0,"N/A"
2021,139,13,4.5,0,0,0,0,"N/A"
2021,139,16,6.75,0,0,0,0,"N/A"
2021,139,17,9,0,0,0,0,"N/A"
2021,139,19,0,0,0,12.8,13.5,"N/A"
2021,139,20,2.25,0,0,0,0,"N/A"
2021,139,21,-2,0,0,9.5,7.8,"N/A"
2022,137,4,4.5,0,0,2.8,3.4,"N/A"
2022,137,6,0,0,0,39.3,5.5,"N/A"
2022,137,7,-2,0,0,17,8.4,"N/A"
2022,137,8,6.75,0,0,7.3,9.5,"N/A"
2022,137,10,9,0,0,0,0,"N/A"
2022,137,11,2.25,0,0,23.4,9.6,"N/A"
2022,137,13,4.5,0,0,16.8,14.2,"N/A"
2022,137,16,6.75,0,0,0,0,"N/A"
2022,137,17,9,0,0,0,0,"N/A"
2022,137,19,0,0,0,42,0,"N/A"
2022,137,20,2.25,0,0,32.8,6.9,"N/A"
2022,137,21,-2,0,0,1.5,1.9,"N/A"
2023,119,4,4.5,0,0,10,9.1,"N/A"
2023,119,6,0,0,0,42,0,"N/A"
2023,119,7,-2,0,0,2.5,5,"N/A"
2023,119,8,6.75,0,0,2,4,"N/A"
2023,119,10,9,0,0,0,0,"N/A"
2023,119,11,2.25,0,0,21.8,17.3,"N/A"
2023,119,13,4.5,0,0,6.6,8.2,"N/A"
2023,119,16,6.75,0,0,0,0,"N/A"
2023,119,17,9,0,0,0,0,"N/A"
2023,119,19,0,0,0,31.8,9.3,"N/A"
2023,119,20,2.25,0,0,31.8,9.3,"N/A"
2023,119,21,-2,0,0,11.4,18.3,"N/A"
2024,60,4,4.5,0.5,0,4.2,6,"N/A"
2024,60,6,0,2,0,14.4,8.1,"N/A"
2024,60,7,-2,2,0,25.6,7.8,"N/A"
2024,60,8,6.75,0.5,0,10.2,9.8,"N/A"
2024,60,10,9,0.1,0,0,0,"N/A"
2024,60,11,2.25,1.5,0,12.6,7.1,"N/A"
2024,60,13,4.5,1,0,11.4,7.1,"N/A"
2024,60,16,6.75,0.1,0,5,4.6,"N/A"
2024,60,17,9,0.1,0,7.6,1.1,"N/A"
2024,60,19,0,2,0,21.2,4.8,"N/A"
2024,60,20,2.25,1,0,15.8,3.3,"N/A"
2024,60,21,-2,2,0,22,2,"N/A"
2025,50,4,4.5,5.8,0.8,29.8,6.4,"N/A"
2025,50,6,0,15.2,14.4,22.1,2.2,"N/A"
2025,50,7,-2,51.1,10,15.6,12.9,"N/A"
2025,50,8,6.75,8.2,3,18.6,5.4,"N/A"
2025,50,10,9,7.2,3.6,14,6.7,"N/A"
2025,50,11,2.25,10.4,4.2,19.2,4.8,"N/A"
2025,50,13,4.5,10.6,1.5,30,9.1,"N/A"
2025,50,16,6.75,7.4,3.3,19.9,9.6,"N/A"
2025,50,17,9,9,8.3,26.6,3,"N/A"
2025,50,19,0,11.6,5.1,27.4,10.5,"N/A"
2025,50,20,2.25,9.2,5.9,26.2,8.7,"N/A"
2025,50,21,-2,43.8,11,20.5,13.1,"N/A"
2025,70,4,4.5,0,0,28.8,7.3,"N/A"
2025,70,6,0,0,0,36,4.4,"N/A"
2025,70,7,-2,0.4,0.5,40.2,4,"N/A"
2025,70,8,6.75,0,0,27,4.1,"N/A"
2025,70,10,9,0,0,11.4,3.6,"N/A"
2025,70,11,2.25,0,0,28.8,8.5,"N/A"
2025,70,13,4.5,0,0,27.2,2.3,"N/A"
2025,70,16,6.75,0,0,23,4.8,"N/A"
2025,70,17,9,0,0,17.2,6.6,"N/A"
2025,70,19,0,0,0,37.6,3.8,"N/A"
2025,70,20,2.25,0,0,29.2,4.4,"N/A"
2025,70,21,-2,0,0,26.6,11.4,"N/A"
2025,113,4,4.5,0,0,10,6.8,"N/A"
2025,113,6,0,0,0,21.6,11.2,"N/A"
2025,113,7,-2,0,0,16.4,12.2,"N/A"
2025,113,8,6.75,0,0,4.2,3.9,"N/A"
2025,113,10,9,0,0,0,0,"N/A"
2025,113,11,2.25,0,0,11.4,6.1,"N/A"
2025,113,13,4.5,0,0,9.4,6.3,"N/A"
2025,113,16,6.75,0,0,0.2,0.4,"N/A"
2025,113,17,9,0,0,0,0,"N/A"
2025,113,19,0,0,0,19.6,9.4,"N/A"
2025,113,20,2.25,0,0,11.2,8.7,"N/A"
2025,113,21,-2,0,0,20.8,15.5,"N/A"
